subject_id,bedtime_mssd,TST,midpoint_sleep,cum_gpa,term_gpa,frac_nights_with_data,cohort
PID043,0.0411412132296906,394.8928571428572,362.71428571428567,3.6999995,3.866666,1.0,uw1
PID026,0.14104444444444444,467.1875,392.5,2.916666,1.7,0.5714285714285714,uw1
PID102,0.6073044049967127,497.3571428571428,507.9285714285714,2.6034479310344825,3.9,0.5,uw1
PID158,0.2545257777777778,364.8846153846154,326.92307692307685,3.090624375,2.9,0.9285714285714286,uw1
PID031,0.08334730440499671,459.48148148148147,281.1481481481481,4.0,4.0,0.9642857142857144,uw1
PID143,0.042815481686672825,449.2,381.0,3.986842105263158,3.916666,0.7142857142857143,uw1
PID103,0.12957571938668347,383.66666666666674,327.125,3.9137923448275864,4.0,0.8571428571428571,uw1
PID117,1.282576207895138,390.46428571428567,366.19642857142856,3.351724137931034,2.690909,1.0,uw1
PID108,0.04704888888888888,498.92307692307685,452.9423076923077,3.249999678571428,3.076923,0.9285714285714286,uw1
PID069,1.7592102846648303,328.1666666666667,430.875,2.939285285714285,1.7,0.42857142857142855,uw1
PID058,0.060625,511.2592592592592,320.462962962963,3.583333,3.55,0.9642857142857144,uw1
PID174,0.20330355555555554,404.96153846153845,571.25,2.3103444137931035,3.376923,0.9285714285714286,uw1
PID086,0.08724317939338515,394.3928571428572,324.125,3.4875000000000003,3.646666,1.0,uw1
PID122,0.4749725651577503,482.6,416.3,3.3260866521739127,3.0333330000000003,0.35714285714285715,uw1
PID051,1.7426530612244902,362.125,508.5,3.7575751818181815,3.833333,0.2857142857142857,uw1
PID125,0.8007324444444445,367.8846153846154,499.6538461538461,3.2793101034482763,3.766666,0.9285714285714286,uw1
PID050,0.07729289940828403,412.5555555555555,323.7962962962963,3.5999996190476184,3.435714,0.9642857142857144,uw1
PID088,0.7864853333333333,436.3846153846154,394.07692307692315,3.5407403703703704,3.233333,0.9285714285714286,uw1
PID197,0.31761196145124715,404.0,430.36666666666673,2.983333,2.933333,0.5357142857142857,uw1
PID039,0.054357948483462884,371.1071428571428,493.07142857142856,3.4666661818181823,3.608333,1.0,uw1
PID067,0.1048586456278764,402.5925925925926,342.3333333333333,3.9129025161290327,3.85,0.9642857142857144,uw1
PID179,0.05070606614845298,430.46428571428567,296.44642857142856,4.0,3.966666000000001,1.0,uw1
PID092,0.15547744246303916,485.71428571428567,314.2857142857143,3.077418967741936,3.230769,1.0,uw1
PID163,0.8941806377383299,474.9259259259259,445.48148148148147,3.896774032258064,4.0,0.9642857142857144,uw1
PID046,0.4576333333333333,328.88461538461536,497.32692307692315,3.651515121212121,3.344444,0.9285714285714286,uw1
PID124,0.6438031550068587,418.7,368.9,3.1111107777777787,3.2,0.35714285714285715,uw1
PID171,0.15244984567901235,460.5384615384616,335.1923076923077,3.316666,3.233333,0.4642857142857143,uw1
PID001,0.3211829668209876,445.24,425.78,3.1962958148148144,3.9,0.8928571428571429,uw1
PID091,0.10867588782197836,369.53571428571433,358.42857142857144,3.8187495625,3.752941,1.0,uw1
PID082,0.0242173449169334,398.5,343.83928571428567,3.7965511034482766,3.666666,1.0,uw1
PID166,0.17224889498552048,432.57142857142856,333.39285714285717,3.8928563571428567,3.833333,1.0,uw1
PID073,0.17558823529411766,418.16666666666674,325.25,4.0,3.972727,0.6428571428571429,uw1
PID157,0.17257925621094347,361.82142857142856,471.25,3.458620068965517,3.55,1.0,uw1
PID194,0.6561651234567901,485.8571428571428,425.1428571428572,3.5299995000000006,3.733333,0.25,uw1
PID209,0.09107186404511508,439.71428571428567,280.125,3.608695434782609,3.73125,1.0,uw1
PID145,0.16838088888888889,423.6923076923077,490.67307692307685,3.239130434782609,3.633333,0.9285714285714286,uw1
PID128,7.4778909465020575,412.3,283.05,3.8666665,3.966666000000001,0.35714285714285715,uw1
PID176,0.2150957429322814,374.88888888888886,419.2962962962963,2.249999461538462,2.870588,0.9642857142857144,uw1
PID080,0.051161242603550296,430.03703703703695,436.7407407407408,3.65,3.5277769999999995,0.9642857142857144,uw1
PID206,0.057496301775147925,351.48148148148147,376.3148148148149,3.681818,3.95,0.9642857142857144,uw1
PID106,2.0271277777777783,291.45454545454544,605.8636363636364,3.45999992,3.566666000000001,0.3928571428571429,uw1
PID020,0.11252895900015243,274.17857142857144,315.60714285714283,2.8827582068965514,2.75,1.0,uw1
PID167,0.5900723299476762,399.35,425.075,3.72,3.566666000000001,0.7142857142857143,uw1
PID126,0.2522844328703704,408.48,320.44,3.8799998,3.961538,0.8928571428571429,uw1
PID104,0.27233422222222226,405.8461538461538,334.96153846153845,3.5249996,3.4,0.9285714285714286,uw1
PID178,1.836083984375,329.4117647058824,600.0294117647059,3.269999433333333,2.894444,0.6071428571428571,uw1
PID196,0.14283982577251808,414.2962962962963,380.72222222222223,3.58749975,3.65,0.9642857142857144,uw1
PID170,0.004505029721079104,487.07142857142856,282.48214285714283,3.7999995,3.766666,1.0,uw1
PID062,3.3600422020660115,422.27272727272725,640.2272727272727,3.7799996,3.266666,0.7857142857142857,uw1
PID048,0.031665844838921764,329.037037037037,389.22222222222223,3.627272545454545,3.5,0.9642857142857144,uw1
PID111,0.5476627604166666,454.7058823529412,450.2058823529412,3.279999800000001,3.5,0.6071428571428571,uw1
PID160,0.08628826530612245,455.6,437.73333333333335,3.7090908181818185,3.442857,0.5357142857142857,uw1
PID068,0.03833028501752782,430.1428571428572,317.75,3.5285714285714285,3.653846,1.0,uw1
PID109,0.10690755555555556,371.07692307692315,330.96153846153845,3.315151181818182,3.721428,0.9285714285714286,uw1
